# data from Gutjahr et al. 2017, Case where C-org burial increases during the recovery
Time_WRT_CIE,DIC,pH
-3.10,1.90E-03,7.53E+00
-3.00,1.91E-03,7.53E+00
-2.90,1.91E-03,7.53E+00
-2.80,1.91E-03,7.53E+00
-2.70,1.91E-03,7.53E+00
-2.60,1.92E-03,7.53E+00
-2.50,1.92E-03,7.53E+00
-2.40,1.92E-03,7.52E+00
-2.30,1.92E-03,7.52E+00
-2.20,1.93E-03,7.52E+00
-2.10,1.93E-03,7.52E+00
-2.00,1.93E-03,7.52E+00
-1.90,1.93E-03,7.52E+00
-1.80,1.94E-03,7.52E+00
-1.70,1.94E-03,7.52E+00
-1.60,1.94E-03,7.52E+00
-1.50,1.94E-03,7.52E+00
-1.40,1.95E-03,7.52E+00
-1.30,1.95E-03,7.52E+00
-1.20,1.95E-03,7.52E+00
-1.10,1.95E-03,7.52E+00
-1.00,1.96E-03,7.52E+00
-0.90,1.96E-03,7.52E+00
-0.80,1.96E-03,7.52E+00
-0.70,1.96E-03,7.52E+00
-0.60,1.96E-03,7.52E+00
-0.50,1.97E-03,7.52E+00
-0.40,1.97E-03,7.52E+00
-0.30,1.97E-03,7.52E+00
-0.20,1.97E-03,7.51E+00
-0.10,1.98E-03,7.51E+00
0.00,1.98E-03,7.51E+00
0.10,1.98E-03,7.51E+00
0.20,1.98E-03,7.51E+00
0.30,1.99E-03,7.51E+00
0.40,1.99E-03,7.51E+00
0.50,1.99E-03,7.51E+00
0.60,1.99E-03,7.51E+00
0.70,1.99E-03,7.51E+00
0.80,2.00E-03,7.51E+00
0.90,2.00E-03,7.51E+00
1.00,2.00E-03,7.51E+00
1.10,2.00E-03,7.51E+00
1.20,2.00E-03,7.51E+00
1.30,2.01E-03,7.51E+00
1.40,2.01E-03,7.51E+00
1.50,2.01E-03,7.51E+00
1.60,2.01E-03,7.51E+00
1.70,2.02E-03,7.51E+00
1.80,2.02E-03,7.51E+00
1.90,2.02E-03,7.51E+00
2.00,2.02E-03,7.51E+00
2.10,2.02E-03,7.50E+00
2.20,2.03E-03,7.50E+00
2.30,2.03E-03,7.50E+00
2.40,2.03E-03,7.50E+00
2.50,2.03E-03,7.50E+00
2.60,2.03E-03,7.50E+00
2.70,2.04E-03,7.50E+00
2.80,2.04E-03,7.50E+00
2.90,2.04E-03,7.50E+00
3.00,2.04E-03,7.50E+00
3.10,2.04E-03,7.50E+00
3.20,2.05E-03,7.50E+00
3.30,2.05E-03,7.50E+00
3.40,2.05E-03,7.50E+00
3.50,2.05E-03,7.50E+00
3.60,2.05E-03,7.50E+00
3.70,2.06E-03,7.50E+00
3.80,2.06E-03,7.50E+00
3.90,2.06E-03,7.50E+00
4.00,2.06E-03,7.50E+00
4.10,2.06E-03,7.50E+00
4.20,2.07E-03,7.50E+00
4.30,2.07E-03,7.49E+00
4.40,2.07E-03,7.49E+00
4.50,2.07E-03,7.49E+00
4.60,2.07E-03,7.49E+00
4.70,2.08E-03,7.49E+00
4.80,2.08E-03,7.49E+00
4.90,2.08E-03,7.49E+00
5.00,2.08E-03,7.49E+00
5.10,2.08E-03,7.49E+00
5.20,2.09E-03,7.49E+00
5.30,2.09E-03,7.49E+00
5.40,2.09E-03,7.49E+00
5.50,2.09E-03,7.49E+00
5.60,2.09E-03,7.49E+00
5.70,2.09E-03,7.49E+00
5.80,2.10E-03,7.49E+00
5.90,2.10E-03,7.49E+00
6.00,2.10E-03,7.49E+00
6.10,2.10E-03,7.49E+00
6.20,2.10E-03,7.49E+00
6.30,2.11E-03,7.49E+00
6.40,2.11E-03,7.49E+00
6.50,2.11E-03,7.48E+00
6.60,2.11E-03,7.48E+00
6.70,2.11E-03,7.48E+00
